wins,losses,draws,height_cm,weight_kg,reach_in_cm,sig_strikes_landed_min,sig_strike_acc,sig_strikes_absorbed_min,sig_strike_def,avg_takedowns_landed_15_min,takedown_acc,takedown_def,avg_sub_attempt_15_min
14,9,0,162.56,56.7,167.64,5.24,43,5.86,52,1.3,19,75,5.24
18,4,0,172.72,61.23,177.8,5.23,42,5.13,59,0.73,100,85,5.23
15,5,0,180.34,77.11,190.5,5.22,50,5.6,58,0.51,44,87,5.22
8,2,0,175.26,77.11,182.88,5.2,44,3.53,61,2.0,50,100,5.2
11,0,0,172.72,61.23,180.34,5.2,63,2.34,58,3.5,53,83,5.2
12,4,0,182.88,65.77,185.42,5.2,51,4.16,45,0.74,33,50,5.2
16,5,1,162.56,56.7,165.1,5.2,48,2.23,65,0.68,33,92,5.2
13,8,0,172.72,65.77,182.88,5.19,40,5.46,52,0.63,18,64,5.19
6,4,0,162.56,52.16,154.94,5.19,47,4.67,50,0.66,12,54,5.19
18,3,0,167.64,61.23,170.18,5.19,53,3.33,45,1.73,40,55,5.19
7,3,0,180.34,77.11,182.88,5.19,54,3.9,47,0.0,0,100,5.19
22,28,3,193.04,120.2,182.88,5.18,53,4.86,35,0.0,0,0,5.18
