name,nickname,wins,losses,draws,height_cm,weight_kg,reach_in_cm,stance,date_of_birth,sig_strikes_landed_min,sig_strike_acc,sig_strikes_absorbed_min,sig_strike_def,avg_takedowns_landed_15_min,takedown_acc,takedown_def,avg_sub_attempt_15_min
Bruno Lopes,Brunao,11,1,0,187.96,92.99,190.5,Orthodox,24/04/1993,5.29,35,8.46,53,0,0,0,5.29
Fabio Maldonado,Caipira de Aco,23,11,0,185.42,92.99,190.5,Orthodox,17/03/1980,5.29,58,4.31,53,0.44,57,61,5.29
Ray Seraille,,8,9,0,190.5,111.58,,,,5.29,27,17.65,41,0,0,0,5.29
Melsik Baghdasaryan,The Gun,8,2,0,175.26,65.77,177.8,Southpaw,28/01/1992,5.28,61,3.06,58,0,0,72,5.28
Cameron Saaiman,MSP,9,1,0,172.72,61.23,170.18,Southpaw,20/12/2000,5.28,46,3.24,55,1,36,44,5.28
Christian Lohsen,Hollywood,4,2,0,187.96,70.31,195.58,Southpaw,24/01/1995,5.27,49,6.93,44,0,0,0,5.27
Daniel Zellhuber,Golden Boy,14,1,0,185.42,70.31,195.58,Switch,07/07/1999,5.26,39,4.79,53,0.28,33,94,5.26
Joshua Weems,Wide Open,11,3,0,172.72,61.23,175.26,Orthodox,05/05/1994,5.25,64,3.34,61,4.77,40,100,5.25
Zhalgas Zhumagulov,,14,9,0,162.56,56.7,167.64,Switch,29/08/1988,5.24,43,5.86,52,1.3,19,75,5.24
Cristian Quinonez,Problema,18,4,0,172.72,61.23,177.8,Orthodox,26/04/1996,5.23,42,5.13,59,0.73,100,85,5.23
Geoff Neal,Handz of Steel,15,5,0,180.34,77.11,190.5,Southpaw,28/08/1990,5.22,50,5.6,58,0.51,44,87,5.22
Solomon Renfro,The Black Dragon,8,2,0,175.26,77.11,182.88,Switch,05/02/1997,5.2,44,3.53,61,2,50,100,5.2
Farid Basharat,Ferocious,11,0,0,172.72,61.23,180.34,Orthodox,02/08/1997,5.2,63,2.34,58,3.5,53,83,5.2
Danny Henry,The Hatchet,12,4,0,182.88,65.77,185.42,Orthodox,17/07/1988,5.2,51,4.16,45,0.74,33,50,5.2
Natalia Silva,,16,5,1,162.56,56.7,165.1,Southpaw,03/02/1997,5.2,48,2.23,65,0.68,33,92,5.2
Shane Young,Smokin',13,8,0,172.72,65.77,182.88,Orthodox,31/07/1993,5.19,40,5.46,52,0.63,18,64,5.19
Hannah Goldy,24K,6,4,0,162.56,52.16,154.94,Orthodox,18/05/1992,5.19,47,4.67,50,0.66,12,54,5.19
Timur Valiev,Lucky,18,3,0,167.64,61.23,170.18,Orthodox,19/01/1990,5.19,53,3.33,45,1.73,40,55,5.19
Angelo Trevino,Baby Monsta,7,3,0,180.34,77.11,,Switch,10/06/1993,5.19,54,3.9,47,0,0,100,5.19
Ruben Villareal,Warpath,22,28,3,193.04,120.2,,Orthodox,01/05/1970,5.18,53,4.86,35,0,0,0,5.18
Vicente Luque,The Silent Assassin,22,9,1,180.34,77.11,190.5,Orthodox,27/11/1991,5.17,52,5.15,52,1.04,60,62,5.17
Michael Morales,,15,0,0,182.88,77.11,200.66,Orthodox,24/06/1999,5.17,48,3.54,48,1.66,45,91,5.17
Luis Saldana,,16,7,1,180.34,65.77,185.42,Orthodox,27/01/1991,5.16,50,3.65,60,0.64,17,44,5.16
Jared Hamman,The Messenger,14,6,0,190.5,83.91,190.5,Orthodox,07/03/1982,5.15,42,3.93,55,1.57,46,30,5.15
Justin Tafa,Bad Man,7,3,0,182.88,119.75,187.96,Southpaw,13/12/1993,5.13,55,5.93,49,0,0,100,5.13
James Thompson,The Colossus,20,16,0,195.58,120.2,,Orthodox,16/12/1978,5.13,52,3.19,41,3.14,36,53,5.13
Scott Junk,,8,3,1,185.42,120.2,,Orthodox,17/12/1978,5.13,60,1.81,45,0,0,0,5.13
Connor Matthews,The Controller,7,1,0,172.72,65.77,180.34,Switch,31/05/1992,5.13,44,5.57,55,3.5,58,50,5.13
Drew McFedries,The Massacre,12,7,0,182.88,83.91,182.88,Southpaw,27/07/1978,5.13,51,4.56,52,1.42,100,56,5.13
Jack Hermansson,The Joker,23,8,0,185.42,83.91,195.58,Orthodox,10/06/1988,5.13,44,3.69,55,1.66,29,75,5.13
Xiao Long,,26,7,0,172.72,61.23,177.8,Orthodox,13/04/1998,5.13,49,3.49,54,0.67,25,78,5.13
Michal Oleksiejczuk,Hussar,19,6,0,182.88,83.91,187.96,Southpaw,22/02/1995,5.12,50,4.17,62,0.76,44,48,5.12
Calvin Kattar,,23,7,0,180.34,65.77,182.88,Orthodox,26/03/1988,5.12,39,7.1,54,0.42,29,91,5.12
Manel Kape,StarBoy,19,6,0,165.1,56.7,172.72,Southpaw,14/11/1993,5.12,54,4.51,59,0.65,37,77,5.12
Melquizael Costa,Melk Cauthy,20,6,0,177.8,65.77,180.34,Southpaw,14/09/1996,5.11,45,2.53,64,1.87,37,42,5.11
AJ Matthews,,8,7,0,180.34,83.91,,,,5.11,52,4.96,51,0,0,100,5.11
Robbie Ring,Razor,6,1,0,175.26,65.77,172.72,Orthodox,14/07/2000,5.11,38,9.15,38,4.04,33,0,5.11
Yoko Takahashi,,15,12,2,172.72,68.04,,,,5.11,54,8.78,48,0,0,0,5.11
Jin Soo Son,,9,4,0,167.64,61.23,175.26,Orthodox,01/04/1993,5.1,36,7.63,52,1.5,25,100,5.1
Miles McDonald,,2,1,0,170.18,52.16,,,,5.1,45,4,43,0,0,100,5.1
Jamall Emmers,Pretty Boy,20,7,0,177.8,65.77,187.96,Orthodox,24/07/1989,5.1,48,3.79,57,1.96,40,90,5.1
Alexander Volkov,Drago,37,10,0,200.66,113.4,203.2,Orthodox,24/10/1988,5.1,57,3,54,0.49,63,73,5.1
Tim Means,The Dirty Bird,33,15,1,187.96,77.11,190.5,Orthodox,20/02/1984,5.1,49,3.65,60,1.16,42,65,5.1
TJ Dillashaw,,18,5,0,167.64,61.23,170.18,Orthodox,07/02/1986,5.09,41,3.47,62,1.56,30,77,5.09
Taylor Johnson,Tombstone,5,1,0,182.88,83.91,187.96,Switch,09/11/1990,5.09,60,1.13,33,8.49,100,100,5.09
Michel Pereira,Demolidor,29,11,0,185.42,83.91,185.42,Orthodox,06/10/1993,5.09,53,3.74,58,1.56,55,94,5.09
Trevor Peek,,9,1,0,175.26,70.31,177.8,Switch,09/01/1995,5.09,56,4.37,44,1.76,50,51,5.09
Dan Hooker,The Hangman,23,12,0,182.88,70.31,190.5,Switch,13/02/1990,5.08,48,4.76,51,0.79,34,80,5.08
Chris Duncan,The Problem,11,1,0,177.8,70.31,180.34,Orthodox,10/05/1993,5.08,46,3.74,49,3.63,39,100,5.08
Kaynan Kruschewsky,Bahia,15,2,0,182.88,70.31,185.42,Orthodox,04/04/1991,5.08,39,4.79,47,2.18,100,0,5.08
Ricky Turcios,,13,3,0,175.26,61.23,180.34,Orthodox,05/06/1993,5.08,37,3.7,55,1,25,45,5.08
Lukasz Brzeski,The Bull,8,4,1,193.04,107.05,198.12,Orthodox,17/05/1992,5.08,48,3.46,57,0.64,50,42,5.08
Jamey-Lyn Horth,,6,0,0,170.18,56.7,167.64,Orthodox,30/03/1990,5.07,73,4.2,58,0,0,75,5.07
Jin Oh Kim,,0,4,0,175.26,92.99,,Orthodox,,5.06,25,8.43,50,0,0,66,5.06
Lucas Alexander,The Lion,8,3,0,180.34,65.77,185.42,Orthodox,28/07/1995,5.05,53,1.76,72,0,0,66,5.05
Cameron Dollar,,11,5,0,180.34,70.31,,Orthodox,12/05/1987,5.04,38,2.94,61,0,0,0,5.04
